Iteration	PolicyLoss	ValueLoss	Entropy	MeanReward	BestMeanReward
10	-0.15036551654338837	0.00016900293121580034	1.4247393608093262	-0.049440622	-0.049440622
20	-0.02397306077182293	2.217053042841144e-05	1.4283002614974976	-0.0054692673	-0.0054692673
30	-0.1191437840461731	7.465892849722877e-05	1.4267710447311401	0.01576455	0.01576455
40	-0.1644926816225052	2.3740043616271578e-05	1.4193519353866577	0.007971151	0.01576455
50	0.5410444736480713	2.4820667022140697e-05	1.4171022176742554	0.009238159	0.01576455
60	-0.0023765836376696825	4.4110562157584354e-05	1.4173997640609741	0.04195706	0.04195706
70	-0.09314946830272675	2.0058361769770272e-05	1.4169976711273193	0.020019386	0.04195706
80	-0.07863367348909378	7.537499186582863e-05	1.4142448902130127	0.06796626	0.06796626
90	-0.05658514425158501	4.014495061710477e-05	1.4102730751037598	0.04202626	0.06796626
100	-0.07988564670085907	3.055347042391077e-05	1.4084863662719727	0.03828908	0.06796626
110	-0.113644540309906	8.421367965638638e-06	1.405881404876709	0.028651714	0.06796626
120	-0.12890194356441498	1.5232851183100138e-05	1.4038676023483276	0.029309118	0.06796626
130	-0.1346958726644516	1.1715957953128964e-05	1.407139539718628	0.020584313	0.06796626
140	-0.1222577914595604	8.381137377000414e-06	1.4061781167984009	0.012686847	0.06796626
150	-0.13425959646701813	2.593648969195783e-05	1.405277132987976	0.014020269	0.06796626
160	-0.13380487263202667	7.938853741507046e-06	1.4086617231369019	0.019120244	0.06796626
170	-0.13042326271533966	1.5384786820504814e-05	1.4078278541564941	0.028398693	0.06796626
180	-0.08140474557876587	5.0523805839475244e-05	1.409900188446045	0.022237603	0.06796626
190	-0.10670498013496399	8.518945833202451e-06	1.407507061958313	0.0235156	0.06796626
200	-0.11708024889230728	5.028773011872545e-05	1.4079291820526123	0.027979407	0.06796626
210	-0.12289687246084213	1.2330204299360048e-05	1.404370903968811	0.024704898	0.06796626
220	-0.13173708319664001	6.437183037633076e-05	1.402858018875122	0.016229738	0.06796626
230	-0.11715846508741379	2.5745906896190718e-05	1.4016393423080444	0.012733655	0.06796626
240	-0.11767005175352097	1.34434194478672e-05	1.4021567106246948	0.01853395	0.06796626
250	-0.10737832635641098	1.643329596845433e-05	1.4013230800628662	0.031673618	0.06796626
260	-0.07224799692630768	6.399620178854093e-05	1.3971292972564697	0.03350145	0.06796626
270	-0.148880273103714	1.5840549167478457e-05	1.3957895040512085	0.023728589	0.06796626
280	-0.16299669444561005	4.964237177773612e-06	1.3955360651016235	0.013310792	0.06796626
290	-0.003895020578056574	1.0717541044868995e-05	1.3896195888519287	-0.12241216	0.06796626
300	-0.7967782616615295	2.733205838012509e-05	1.3778198957443237	-0.12025771	0.06796626
310	-0.12574751675128937	2.2952668587095104e-05	1.3763023614883423	-0.008043984	0.06796626
320	-0.0472879558801651	0.00011248618102399632	1.3753334283828735	0.013818813	0.06796626
330	-0.14100606739521027	1.850833541539032e-05	1.3779526948928833	-0.008070576	0.06796626
